"imgthumbnail href","imgthumbnail src","brand-label","brand-label href","product-name","in-stock","stock-qty","list-attribute","list-attribute 2","list-attribute 3","list-attribute 4","list-attribute 5","rrp","has-savings-price","price","has-vat-price","label 2","buttons"
                                var obj_1096325 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/chair-mats/cleartex-pvc-chair-mat-carpet-lipped-1150x1340mm-clear-11341525lv--4","https://cdn3.evostore.io/productimages/vow_premium/l/fl74105.jpg","Cleartex","https://www.officemonster.co.uk/searchbrand?querybrand=1285&name=Cleartex","Floortex Advantagemat PVC Lipped Chair Mat for Carpets up to 6mm Thick 1340x1150mm","In Stock","29","50% of our manufacturing site?s energy comes from on-site and external renewable sources","All of Floortex's PVC mats are recyclable, made with up to 25% recycled material","Colour: Clear","Dimensions: 1150 x 1340mm","Gripper back for use on low pile carpets up to 6mm thick including underlay","RRP
                                    £101.75","35","£65.64","£78.77","Product Code: FL74105","$t_item = {};
                                $t_item.item_id = 1006617;
                                $t_item.item_sku = ""FL74105"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Floortex Advantagemat PVC Lipped Chair Mat for Carpets up to 6mm Thick 1340x1150mm"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl74105.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1096326 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/chair-mats/cleartex-pvc-chair-mat-carpet-rectangular-1200x1500mm-clear-1115225ev--4","https://cdn3.evostore.io/productimages/vow_premium/l/fl74112.jpg","Cleartex","https://www.officemonster.co.uk/searchbrand?querybrand=1285&name=Cleartex","Floortex Advantagemat PVC Rectangular Chair Mat for Carpets up to 6mm 1500x1200x22mm Clear 1115225EV","In Stock","9","Any special delivery instructions or site restrictions must be advised on your order prior to despatch; delivery failures due to missing instructions will incur a fee based on the order size","Colour: Clear","Dimensions: 1210 x 1520mm","Easy ride surface for wheeled chairs","Free of tin and cadmium for non-toxic use","RRP
                                    £136.75","26","£101.68","£122.02","Product Code: FL74112","$t_item = {};
                                $t_item.item_id = 1006618;
                                $t_item.item_sku = ""FL74112"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Floortex Advantagemat PVC Rectangular Chair Mat for Carpets up to 6mm 1500x1200x22mm Clear 1115225EV"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl74112.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1096327 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/chair-mats/floortex-polycarbonate-rectangle-carpet-chair-mat-152x121cm-1115223er--4","https://cdn3.evostore.io/productimages/vow_premium/l/fl74113.jpg","Cleartex","https://www.officemonster.co.uk/searchbrand?querybrand=1285&name=Cleartex","Floortex Ultimat Polycarbonate Rectangular Chair Mat for Carpets up to 12mm 1500x1200x23mm 1115223ER","","","Any special delivery instructions or site restrictions must be advised on your order prior to despatch; delivery failures due to missing instructions will incur a fee based on the order size","Colour: Clear","Dimensions: 1520 x 1210mm","Easy ride surface for wheeled chairs","Extra strong polycarbonate mat for low pile carpets","RRP
                                    £173.52","27","£127.27","£152.72","Product Code: FL74113","$t_item = {};
                                $t_item.item_id = 1006619;
                                $t_item.item_sku = ""FL74113"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Floortex Ultimat Polycarbonate Rectangular Chair Mat for Carpets up to 12mm 1500x1200x23mm 1115223ER"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl74113.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

