"imgthumbnail href","imgthumbnail src","brand-label","brand-label href","product-name","in-stock","stock-qty","list-attribute","list-attribute 2","list-attribute 3","list-attribute 4","list-attribute 5","rrp","has-savings-price","price","has-vat-price","label 2","buttons"
                                var obj_57652887 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/clocks/acctim-earl-wall-clock-non-ticking-sweep-seconds-hand-250mm-diameter-black-22563--5","https://cdn3.evostore.io/productimages/vow_premium/l/ang22563.jpg","Acctim","https://www.officemonster.co.uk/searchbrand?querybrand=1018&name=Acctim","Acctim Earl Wall Clock Non Ticking Sweep Seconds Hand 250mm Diameter Black 22563","In Stock","29","Colour: Black","Diameter: 250mm","Glass lens","Non-ticking sweep movement","quartz movement","RRP
                                    £19.50","7","£18.21","£21.85","Product Code: ANG22563","$t_item = {};
                                $t_item.item_id = 43041765;
                                $t_item.item_sku = ""ANG22563"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Acctim Earl Wall Clock Non Ticking Sweep Seconds Hand 250mm Diameter Black 22563"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'ang22563.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_57652888 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/clocks/acctim-javik-10-inch-aluminium-wall-clock-27417--5","https://cdn3.evostore.io/productimages/vow_premium/l/ang27417.jpg","Acctim","https://www.officemonster.co.uk/searchbrand?querybrand=1018&name=Acctim","Acctim Javik 10 Inch Wall Clock Aluminium 27417","In Stock","28","Brushed aluminium case with numbered white dial","Face diameter: 250mm","Glass lens protects clock face","Please note: due to limited availability, the clock design may vary slightly from the image shown","Precision quartz clock movement","RRP
                                    £60.68","36","£38.73","£46.48","Product Code: ANG27417","$t_item = {};
                                $t_item.item_id = 1001080;
                                $t_item.item_sku = ""ANG27417"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Acctim Javik 10 Inch Wall Clock Aluminium 27417"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'ang27417.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1091020 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/clocks/acctim-komfort-30-5cm-metal-thermo-hygro-wall-clock-29147--4","https://cdn3.evostore.io/productimages/vow_premium/l/ang29147.jpg","Acctim","https://www.officemonster.co.uk/searchbrand?querybrand=1018&name=Acctim","Acctim Komfort 30.5cm Metal Thermo Hygro Wall Clock 29147","In Stock","23","Analogue dial","Humidity and temperature dials","Made in England","Material: Metal","Non-ticking sweep hand seconds","RRP
                                    £87.96","19","£71.34","£85.61","Product Code: ANG29147","$t_item = {};
                                $t_item.item_id = 2669440;
                                $t_item.item_sku = ""ANG29147"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
